Tên,Đánh giá,Link Google Map,Số đánh giá
Long Geylang - Dimsum House,"4,1",https://www.google.com/maps/place/Long+Geylang+-+Dimsum+House/data=!4m7!3m6!1s0x31752ffe9c066585:0xc7a95341fc528f84!8m2!3d10.7695116!4d106.7029098!16s%2Fg%2F11hyqy3c2y!19sChIJhWUGnP4vdTERhI9S_EFTqcc?authuser=0&hl=vi&rclk=1,661
Long Geylang - Dimsum House,"4,1",https://www.google.com/maps/place/Long+Geylang+-+Dimsum+House/data=!4m7!3m6!1s0x31752ffe9c066585:0xc7a95341fc528f84!8m2!3d10.7695116!4d106.7029098!16s%2Fg%2F11hyqy3c2y!19sChIJhWUGnP4vdTERhI9S_EFTqcc?authuser=0&hl=vi&rclk=1,661
Nhà Hàng Phố 79 (chi nhánh 1),"4,2",https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Ph%E1%BB%91+79+%28chi+nh%C3%A1nh+1%29/data=!4m7!3m6!1s0x31752f3cc5800b5f:0x93508afa2a0fa35c!8m2!3d10.7714457!4d106.6884479!16s%2Fg%2F11ysrqcw5!19sChIJXwuAxTwvdTERXKMPKvqKUJM?authuser=0&hl=vi&rclk=1,610
Gyu Shige - Ngưu Phồn - Đông Du,"4,5",https://www.google.com/maps/place/Gyu+Shige+-+Ng%C6%B0u+Ph%E1%BB%93n+-+%C4%90%C3%B4ng+Du/data=!4m7!3m6!1s0x31752fd7dfc260a3:0xa0fe7d7ac810d254!8m2!3d10.77643!4d106.7047508!16s%2Fg%2F11j2l8zzpn!19sChIJo2DC39cvdTERVNIQyHp9_qA?authuser=0&hl=vi&rclk=1,843
Dynasty House (CN Đồng Khởi),"4,5",https://www.google.com/maps/place/Dynasty+House+%28CN+%C4%90%E1%BB%93ng+Kh%E1%BB%9Fi%29/data=!4m7!3m6!1s0x31752fcede8f52f5:0xd087c0db3a5f90c9!8m2!3d10.7736993!4d106.7057878!16s%2Fg%2F11sc99m5sg!19sChIJ9VKP3s4vdTERyZBfOtvAh9A?authuser=0&hl=vi&rclk=1,174
SUSHI TEI,"4,3",https://www.google.com/maps/place/SUSHI+TEI/data=!4m7!3m6!1s0x31752f78590e28df:0x985fd0a3779f8459!8m2!3d10.7744629!4d106.7028289!16s%2Fg%2F11txchh9c8!19sChIJ3ygOWXgvdTERWYSfd6PQX5g?authuser=0&hl=vi&rclk=1,598
Cơm Quê Dượng Bầu - Vietnamese Homecooked Cuisine,"4,1",https://www.google.com/maps/place/C%C6%A1m+Qu%C3%AA+D%C6%B0%E1%BB%A3ng+B%E1%BA%A7u+-+Vietnamese+Homecooked+Cuisine/data=!4m7!3m6!1s0x31752fb8746e1207:0xd16a3c2b8dfd8045!8m2!3d10.7734296!4d106.7051744!16s%2Fg%2F11sdyk5kzp!19sChIJBxJudLgvdTERRYD9jSs8atE?authuser=0&hl=vi&rclk=1,849
Cơm tấm Út Thảo (Thao's Cafe),"4,5",https://www.google.com/maps/place/C%C6%A1m+t%E1%BA%A5m+%C3%9At+Th%E1%BA%A3o+%28Thao%27s+Cafe%29/data=!4m7!3m6!1s0x31752f408c3ea5a3:0xd7e998b7ef490069!8m2!3d10.7716871!4d106.7033394!16s%2Fg%2F11y0ll_q4!19sChIJo6U-jEAvdTERaQBJ77eY6dc?authuser=0&hl=vi&rclk=1,72
The Indian House,"4,5",https://www.google.com/maps/place/The+Indian+House/data=!4m7!3m6!1s0x31752f1660cedde9:0x9cf1784aef53e108!8m2!3d10.7739338!4d106.7026064!16s%2Fg%2F11sbptg0w2!19sChIJ6d3OYBYvdTERCOFT70p48Zw?authuser=0&hl=vi&rclk=1,550
Bier Garden,"4,0",https://www.google.com/maps/place/Bier+Garden/data=!4m7!3m6!1s0x31752f4659af826f:0x8d60a5837aec32c3!8m2!3d10.7752488!4d106.7037322!16s%2Fg%2F11xjlbh2y!19sChIJb4KvWUYvdTERwzLseoOlYI0?authuser=0&hl=vi&rclk=1,449
Gyu Shige - Ngưu Phồn,"4,1",https://www.google.com/maps/place/Gyu+Shige+-+Ng%C6%B0u+Ph%E1%BB%93n/data=!4m7!3m6!1s0x31752f47681328ff:0xac4703db3979f40e!8m2!3d10.7732879!4d106.700798!16s%2Fg%2F11cs0r66bn!19sChIJ_ygTaEcvdTERDvR5OdsDR6w?authuser=0&hl=vi&rclk=1,515
KATINAT Nguyễn Huệ,"3,7",https://www.google.com/maps/place/KATINAT+Nguy%E1%BB%85n+Hu%E1%BB%87/data=!4m7!3m6!1s0x31752ff9ce3c9fbd:0x665e33488b044752!8m2!3d10.773516!4d106.7037579!16s%2Fg%2F11vjydtkdq!19sChIJvZ88zvkvdTERUkcEi0gzXmY?authuser=0&hl=vi&rclk=1,129
Buffet Gánh Khách Sạn Bông Sen,"4,1",https://www.google.com/maps/place/Buffet+G%C3%A1nh+Kh%C3%A1ch+S%E1%BA%A1n+B%C3%B4ng+Sen/data=!4m10!3m9!1s0x31752f46f645a715:0x1db38e0138646d79!5m2!4m1!1i2!8m2!3d10.7752081!4d106.7038091!16s%2Fg%2F11c6lfcb2j!19sChIJFadF9kYvdTEReW1kOAGOsx0?authuser=0&hl=vi&rclk=1,455
Meraki café,"4,2",https://www.google.com/maps/place/Meraki+caf%C3%A9/data=!4m7!3m6!1s0x31752f810952464d:0xa3c2077e9a1b3abc!8m2!3d10.7740558!4d106.7041078!16s%2Fg%2F11khbt1y8n!19sChIJTUZSCYEvdTERvDobmn4HwqM?authuser=0&hl=vi&rclk=1,562
